2013-04-27 22:43:21 status unpacked dash 0.5.5.1-7.4
2013-04-27 22:43:21 status unpacked dash 0.5.5.1-7.4
2013-04-27 22:43:21 install libdb4.8 <none> 4.8.30-2
2013-04-27 22:43:21 status half-installed libdb4.8 4.8.30-2
2013-04-27 22:43:22 status unpacked libdb4.8 4.8.30-2
2013-04-27 22:43:22 status unpacked libdb4.8 4.8.30-2
2013-04-27 22:43:22 install debconf-i18n <none> 1.5.36.1
2013-04-27 22:43:22 status half-installed debconf-i18n 1.5.36.1
2013-04-27 22:43:22 status unpacked debconf-i18n 1.5.36.1
2013-04-27 22:43:22 status unpacked debconf-i18n 1.5.36.1
2013-04-27 22:43:22 install debconf <none> 1.5.36.1
2013-04-27 22:43:22 status half-installed debconf 1.5.36.1
2013-04-27 22:43:23 status unpacked debconf 1.5.36.1
2013-04-27 22:43:23 status unpacked debconf 1.5.36.1
2013-04-27 22:43:23 install debianutils <none> 3.4
2013-04-27 22:43:23 status half-installed debianutils 3.4
2013-04-27 22:43:23 status unpacked debianutils 3.4
2013-04-27 22:43:23 status unpacked debianutils 3.4
2013-04-27 22:43:23 install diffutils <none> 1:3.0-1
2013-04-27 22:43:23 status half-installed diffutils 1:3.0-1
2013-04-27 22:43:24 status unpacked diffutils 1:3.0-1
2013-04-27 22:43:24 status unpacked diffutils 1:3.0-1
2013-04-27 22:43:24 upgrade dpkg 1.15.8.13 1.15.8.13
2013-04-27 22:43:24 status half-configured dpkg 1.15.8.13
2013-04-27 22:43:24 status unpacked dpkg 1.15.8.13
2013-04-27 22:43:24 status half-installed dpkg 1.15.8.13
2013-04-27 22:43:25 status half-installed dpkg 1.15.8.13
2013-04-27 22:43:25 status unpacked dpkg 1.15.8.13
2013-04-27 22:43:25 status unpacked dpkg 1.15.8.13
2013-04-27 22:43:25 install e2fslibs <none> 1.41.12-4stable1
2013-04-27 22:43:25 status half-installed e2fslibs 1.41.12-4stable1
2013-04-27 22:43:26 status unpacked e2fslibs 1.41.12-4stable1
2013-04-27 22:43:26 status unpacked e2fslibs 1.41.12-4stable1
2013-04-27 22:43:26 install e2fsprogs <none> 1.41.12-4stable1
2013-04-27 22:43:26 status half-installed e2fsprogs 1.41.12-4stable1
2013-04-27 22:43:26 status unpacked e2fsprogs 1.41.12-4stable1
2013-04-27 22:43:26 status unpacked e2fsprogs 1.41.12-4stable1
2013-04-27 22:43:27 install libcomerr2 <none> 1.41.12-4stable1
2013-04-27 22:43:27 status half-installed libcomerr2 1.41.12-4stable1
2013-04-27 22:43:27 status unpacked libcomerr2 1.41.12-4stable1
2013-04-27 22:43:27 status unpacked libcomerr2 1.41.12-4stable1
2013-04-27 22:43:27 install libss2 <none> 1.41.12-4stable1
2013-04-27 22:43:27 status half-installed libss2 1.41.12-4stable1
2013-04-27 22:43:27 status unpacked libss2 1.41.12-4stable1
2013-04-27 22:43:27 status unpacked libss2 1.41.12-4stable1
2013-04-27 22:43:27 install libc-bin <none> 2.11.3-4
2013-04-27 22:43:27 status half-installed libc-bin 2.11.3-4
2013-04-27 22:43:28 status unpacked libc-bin 2.11.3-4
2013-04-27 22:43:28 status unpacked libc-bin 2.11.3-4
2013-04-27 22:43:28 upgrade libc6 2.11.3-4 2.11.3-4
2013-04-27 22:43:28 status half-configured libc6 2.11.3-4
2013-04-27 22:43:28 status unpacked libc6 2.11.3-4
2013-04-27 22:43:28 status half-installed libc6 2.11.3-4
2013-04-27 22:43:29 status half-installed libc6 2.11.3-4
2013-04-27 22:43:29 status unpacked libc6 2.11.3-4
2013-04-27 22:43:29 status unpacked libc6 2.11.3-4
2013-04-27 22:43:30 install findutils <none> 4.4.2-1+b1
2013-04-27 22:43:30 status half-installed findutils 4.4.2-1+b1
2013-04-27 22:43:30 status unpacked findutils 4.4.2-1+b1
2013-04-27 22:43:30 status unpacked findutils 4.4.2-1+b1
2013-04-27 22:43:30 install gcc-4.4-base <none> 4.4.5-8
2013-04-27 22:43:30 status half-installed gcc-4.4-base 4.4.5-8
2013-04-27 22:43:30 status unpacked gcc-4.4-base 4.4.5-8
2013-04-27 22:43:30 status unpacked gcc-4.4-base 4.4.5-8
